state_ut,year,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_persons_under_trial_during_the_year,persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted_during_the_year,persons_acquitted_during_the_year,percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,persons_involved_in_the_cases_reported_for_regular_departmental_action_during_the_year,persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,persons_punished_departmentally_during_the_year,persons_dismissed_from_service_during_the_year,persons_removed_from_service_during_the_year,persons_awarded_other_major_punishments_during_the_year,persons_awarded_minor_punishments_during_the_year,no_of_group_a_officers_out_of_above,no_of_group_b_officers_out_of_above,private_persons_involved_during_the_year
Maharashtra,2001,835,712,803,729,3205,3934,7,3564,363,117,246,0,8,0,68,0,0,45,23,37,83,78
Punjab,2001,90,411,219,279,1439,1718,51,1512,155,43,112,0,0,0,4,0,0,0,4,4,73,143
Gujarat,2001,27,281,44,262,1903,2165,2,1998,165,24,141,0,9,0,2,0,0,0,2,35,6,18
Odisha,2001,78,239,75,151,1708,1859,7,1789,63,10,53,0,208,5,13,0,0,9,4,77,71,46
Rajasthan,2001,196,216,118,294,2109,2403,0,2058,345,77,268,0,139,139,30,1,1,4,24,0,11,0
Karnataka,2001,473,202,425,98,1145,1243,7,1062,174,15,159,0,1,0,0,0,0,0,0,24,32,6
Andhra Pradesh,2001,92,201,54,156,479,635,5,586,44,22,22,0,17,0,13,0,0,0,13,0,0,5
Haryana,2001,1805,198,906,1090,1235,2325,24,2238,63,4,59,0,0,0,0,0,0,0,0,0,43,79
Jammu & Kashmir,2001,204,134,259,79,2108,2187,4,2146,37,6,31,14.6,140,0,0,0,0,0,0,0,44,9
Tamil Nadu,2001,437,129,448,118,181,299,0,274,25,13,12,0,32,0,18,2,3,4,9,1,25,3
Uttar Pradesh,2001,53,108,41,119,163,282,2,277,3,0,3,0,1,5,6,0,0,6,0,3,0,20
Delhi,2001,144,87,103,123,443,566,12,477,77,5,72,0,78,0,0,0,0,0,0,0,7,11
Madhya Pradesh,2001,411,66,288,189,942,1131,17,900,214,69,145,0,4,0,4,0,0,0,4,28,97,14
Himachal Pradesh,2001,96,58,105,35,103,138,4,111,23,4,19,0,2,2,0,0,0,0,0,18,31,13
Kerala,2001,185,49,0,185,453,638,0,560,78,58,20,74,33,0,0,0,0,0,0,0,404,476
