state_ut,district,year,murder,rape,kidnapping_abduction_total,dacoity,dacoity_with_murder,robbery,theft,unlawful_assembly,riots,riots_communal,riots_industrial,riots_political,riots_caste_conflict,riots_students,counterfeiting,dowry_deaths,sexual_harassment,importation_of_girls_from_foriegn_country,humantrafficking,unnatural_offence
andhra pradesh,adilabad,2001,101,50,,9,,41,199,,78,,,,,,1,16,,,,
andhra pradesh,anantapur,2001,151,23,,8,,16,366,,168,,,,,,8,7,,,,
andhra pradesh,chittoor,2001,101,27,,4,,14,723,,156,,,,,,9,14,,,,
andhra pradesh,cuddapah,2001,80,20,,1,,4,173,,164,,,,,,2,17,,,,
andhra pradesh,east godavari,2001,82,23,,4,,25,1021,,70,,,,,,3,12,,,,
andhra pradesh,guntakal rly.,2001,3,0,,5,,2,162,,1,,,,,,3,0,,,,
andhra pradesh,guntur,2001,182,54,,16,,59,1122,,244,,,,,,8,7,,,,
andhra pradesh,hyderabad city,2001,111,37,,13,,67,2792,,65,,,,,,24,24,,,,
andhra pradesh,karimnagar,2001,162,56,,27,,50,392,,220,,,,,,5,62,,,,
andhra pradesh,khammam,2001,93,47,,1,,13,368,,153,,,,,,5,17,,,,
andhra pradesh,krishna,2001,65,37,,3,,15,478,,70,,,,,,1,10,,,,
andhra pradesh,kurnool,2001,133,29,,6,,22,297,,84,,,,,,2,13,,,,
andhra pradesh,mahaboobnagar,2001,157,59,,8,,27,316,,157,,,,,,0,14,,,,
andhra pradesh,medak,2001,101,35,,27,,26,286,,100,,,,,,4,26,,,,
andhra pradesh,nalgonda,2001,122,35,,6,,28,318,,220,,,,,,8,31,,,,
andhra pradesh,nellore,2001,89,46,,12,,16,608,,97,,,,,,3,10,,,,
andhra pradesh,nizamabad,2001,106,21,,7,,22,234,,51,,,,,,1,19,,,,
andhra pradesh,prakasham,2001,102,19,,15,,14,278,,138,,,,,,1,5,,,,
andhra pradesh,ranga reddy,2001,214,72,,24,,78,1296,,65,,,,,,3,37,,,,
andhra pradesh,secunderabad rly.,2001,6,0,,0,,10,296,,1,,,,,,25,1,,,,
andhra pradesh,srikakulam,2001,38,8,,1,,4,231,,70,,,,,,0,6,,,,
andhra pradesh,vijayawada,2001,53,25,,3,,27,2057,,19,,,,,,10,2,,,,
andhra pradesh,vijayawada rly.,2001,2,1,,0,,1,265,,1,,,,,,6,0,,,,
andhra pradesh,visakha rural,2001,58,12,,4,,3,165,,138,,,,,,3,3,,,,
andhra pradesh,visakhapatnam,2001,22,13,,1,,5,630,,9,,,,,,3,0,,,,
andhra pradesh,vizianagaram,2001,33,8,,0,,2,144,,36,,,,,,2,0,,,,
andhra pradesh,warangal,2001,158,53,,2,,23,418,,330,,,,,,2,52,,,,
andhra pradesh,west godavari,2001,77,61,,7,,15,1116,,96,,,,,,2,15,,,,
andhra pradesh,total,2001,2602,871,,214,,629,16751,,3001,,,,,,144,420,,,,
arunachal pradesh,changlang,2001,11,1,,3,,4,24,,0,,,,,,0,0,,,,
arunachal pradesh,dibang valley,2001,3,2,,2,,5,19,,0,,,,,,0,0,,,,
arunachal pradesh,kameng east,2001,3,2,,1,,6,26,,0,,,,,,0,0,,,,
arunachal pradesh,kameng west,2001,4,0,,1,,0,26,,0,,,,,,0,0,,,,
arunachal pradesh,lohit,2001,16,2,,2,,8,31,,3,,,,,,0,0,,,,
arunachal pradesh,papum pare,2001,11,9,,4,,29,109,,9,,,,,,2,0,,,,
arunachal pradesh,siang east,2001,7,5,,4,,8,52,,1,,,,,,0,0,,,,
arunachal pradesh,siang upper,2001,1,2,,0,,0,9,,1,,,,,,0,0,,,,
arunachal pradesh,siang west,2001,5,4,,1,,10,72,,2,,,,,,0,0,,,,
arunachal pradesh,subansiri lower,2001,8,2,,1,,7,25,,5,,,,,,0,0,,,,
arunachal pradesh,subansiri upper,2001,4,2,,3,,5,20,,2,,,,,,0,0,,,,
arunachal pradesh,tawang,2001,2,1,,0,,0,13,,0,,,,,,0,0,,,,
arunachal pradesh,tirap,2001,8,1,,0,,2,17,,1,,,,,,2,0,,,,
arunachal pradesh,total,2001,83,33,,22,,84,443,,24,,,,,,4,0,,,,
assam,barpeta,2001,64,28,,43,,45,187,,196,,,,,,1,10,,,,
assam,bongaigaon,2001,45,20,,13,,25,92,,87,,,,,,0,1,,,,
assam,c.i.d.,2001,0,0,,0,,0,1,,0,,,,,,0,0,,,,
assam,cachar,2001,52,45,,29,,42,359,,533,,,,,,4,7,,,,
assam,darrang,2001,61,48,,21,,29,185,,100,,,,,,0,9,,,,
assam,dhemaji,2001,15,42,,2,,12,79,,13,,,,,,3,0,,,,
assam,dhubri,2001,65,43,,53,,19,83,,402,,,,,,1,5,,,,
assam,dibrugarh,2001,110,35,,14,,29,325,,21,,,,,,1,3,,,,
assam,g.r.p.,2001,13,1,,8,,16,135,,9,,,,,,0,0,,,,
assam,goalpara,2001,28,35,,37,,13,116,,129,,,,,,2,1,,,,
assam,golaghat,2001,53,30,,13,,27,211,,26,,,,,,0,0,,,,
assam,guwahati city,2001,71,37,,38,,73,736,,151,,,,,,7,5,,,,
assam,hailakandi,2001,18,24,,6,,8,92,,160,,,,,,0,2,,,,
assam,jorhat,2001,40,42,,6,,27,230,,30,,,,,,5,2,,,,
assam,kamrup,2001,37,21,,30,,41,275,,55,,,,,,1,2,,,,
assam,karbi anglong,2001,65,5,,12,,33,79,,90,,,,,,1,4,,,,
assam,karimganj,2001,32,33,,8,,5,114,,271,,,,,,2,1,,,,
assam,kokrajhar,2001,87,14,,14,,10,89,,50,,,,,,2,0,,,,
assam,lakhimpur,2001,26,64,,15,,47,195,,106,,,,,,0,0,,,,
assam,morigaon,2001,20,23,,15,,10,66,,79,,,,,,1,0,,,,
assam,n.c.hills,2001,17,2,,4,,5,30,,4,,,,,,0,0,,,,
assam,nagaon,2001,95,51,,59,,33,491,,267,,,,,,6,1,,,,
assam,nalbari,2001,79,30,,15,,39,119,,4,,,,,,3,3,,,,
assam,r.p.o.,2001,11,3,,13,,2,29,,13,,,,,,0,0,,,,
assam,sibsagar,2001,59,47,,3,,41,343,,50,,,,,,5,0,,,,
assam,sonitpur,2001,86,53,,27,,21,356,,85,,,,,,1,1,,,,
assam,tinsukia,2001,107,41,,34,,35,350,,22,,,,,,0,2,,,,
assam,total,2001,1356,817,,532,,687,5367,,2953,,,,,,46,59,,,,
bihar,araria,2001,47,93,,39,,43,161,,375,,,,,,0,11,,,,
bihar,arwal,2001,37,0,,5,,8,24,,76,,,,,,0,7,,,,
bihar,aurangabad,2001,74,16,,19,,28,103,,155,,,,,,2,33,,,,
bihar,bagaha,2001,34,25,,1,,9,115,,67,,,,,,0,0,,,,
bihar,banka,2001,93,34,,49,,39,73,,196,,,,,,0,9,,,,
bihar,begusarai,2001,124,13,,18,,67,265,,147,,,,,,0,21,,,,
bihar,bettiah,2001,66,20,,8,,32,265,,340,,,,,,1,17,,,,
bihar,bhabhua,2001,41,10,,34,,26,184,,186,,,,,,0,8,,,,
bihar,bhagalpur,2001,128,35,,22,,55,370,,171,,,,,,1,20,,,,
bihar,bhojpur,2001,135,22,,32,,49,214,,240,,,,,,0,23,,,,
bihar,buxar,2001,56,8,,49,,34,179,,189,,,,,,0,15,,,,
bihar,darbhanga,2001,53,19,,29,,37,103,,142,,,,,,38,37,,,,
bihar,gaya,2001,200,25,,100,,114,416,,417,,,,,,0,26,,,,
bihar,gopalganj,2001,107,13,,32,,73,153,,227,,,,,,0,22,,,,
bihar,jamalpur rly.,2001,7,1,,9,,13,117,,0,,,,,,0,0,,,,
bihar,jamui,2001,67,10,,22,,14,81,,134,,,,,,1,16,,,,
bihar,jehanabad,2001,73,6,,15,,22,121,,170,,,,,,0,25,,,,
bihar,katihar,2001,60,51,,49,,30,146,,193,,,,,,5,6,,,,
bihar,katihar rly.,2001,7,0,,18,,19,221,,9,,,,,,0,0,,,,
bihar,khagaria,2001,72,5,,6,,29,86,,167,,,,,,0,11,,,,
bihar,kishanganj,2001,25,22,,19,,10,57,,116,,,,,,0,4,,,,
bihar,lakhisarai,2001,61,10,,9,,13,79,,93,,,,,,0,6,,,,
bihar,madhepura,2001,56,11,,17,,31,69,,157,,,,,,1,6,,,,
bihar,madhubani,2001,35,13,,24,,17,98,,195,,,,,,0,12,,,,
bihar,motihari,2001,114,44,,30,,79,271,,365,,,,,,6,37,,,,
bihar,munger,2001,51,11,,6,,29,157,,218,,,,,,0,8,,,,
bihar,muzaffarpur,2001,153,73,,32,,135,538,,241,,,,,,1,69,,,,
bihar,muzaffarpur rly.,2001,13,2,,4,,15,313,,13,,,,,,0,0,,,,
bihar,nalanda,2001,208,40,,51,,97,412,,318,,,,,,3,47,,,,
bihar,naugachia,2001,36,7,,15,,18,32,,56,,,,,,0,4,,,,
bihar,nawadah,2001,77,15,,16,,31,66,,183,,,,,,0,17,,,,
bihar,patna,2001,434,27,,91,,414,1568,,506,,,,,,12,90,,,,
bihar,patna rly.,2001,24,1,,18,,21,811,,11,,,,,,0,0,,,,
bihar,purnea,2001,104,39,,75,,97,227,,269,,,,,,3,8,,,,
bihar,rohtas,2001,127,25,,78,,68,317,,391,,,,,,2,36,,,,
bihar,saharsa,2001,36,12,,3,,15,56,,156,,,,,,0,7,,,,
bihar,samastipur,2001,107,19,,33,,61,247,,312,,,,,,0,11,,,,
bihar,saran,2001,137,20,,69,,93,246,,309,,,,,,1,67,,,,
bihar,sheikhpura,2001,28,3,,16,,12,89,,136,,,,,,0,9,,,,
bihar,sheohar,2001,18,11,,7,,8,16,,38,,,,,,0,3,,,,
bihar,sitamarhi,2001,51,23,,24,,15,132,,218,,,,,,7,13,,,,
bihar,siwan,2001,116,4,,45,,100,112,,239,,,,,,0,32,,,,
bihar,supaul,2001,41,30,,31,,40,129,,170,,,,,,0,7,,,,
bihar,vaishali,2001,110,20,,22,,43,262,,295,,,,,,1,59,,,,
bihar,total,2001,3643,888,,1291,,2203,9701,,8606,,,,,,85,859,,,,
chhattisgarh,balrampur,2001,13,17,,17,,11,21,,15,,,,,,0,1,,,,
chhattisgarh,bilaspur,2001,99,69,,4,,37,690,,166,,,,,,0,7,,,,
chhattisgarh,bizapur,2001,9,4,,2,,6,3,,1,,,,,,0,0,,,,
chhattisgarh,dantewara,2001,83,19,,7,,5,64,,14,,,,,,0,1,,,,
chhattisgarh,dhamtari,2001,14,22,,2,,0,110,,22,,,,,,0,1,,,,
chhattisgarh,durg,2001,76,144,,9,,50,893,,48,,,,,,1,12,,,,
chhattisgarh,grp raipur,2001,2,0,,2,,9,197,,4,,,,,,0,0,,,,
chhattisgarh,jagdalpur,2001,80,59,,2,,23,172,,35,,,,,,2,3,,,,
chhattisgarh,janjgir,2001,48,29,,2,,25,237,,105,,,,,,0,9,,,,
chhattisgarh,jashpur,2001,37,36,,5,,17,54,,13,,,,,,1,2,,,,
chhattisgarh,kanker,2001,31,42,,3,,5,53,,23,,,,,,0,1,,,,
chhattisgarh,kawardha,2001,19,35,,1,,2,43,,10,,,,,,0,1,,,,
chhattisgarh,korba,2001,33,46,,0,,8,305,,67,,,,,,0,1,,,,
chhattisgarh,koriya,2001,35,34,,3,,6,153,,21,,,,,,0,3,,,,
chhattisgarh,mahasamund,2001,18,43,,2,,6,146,,30,,,,,,0,6,,,,
chhattisgarh,raigarh,2001,50,53,,2,,13,173,,34,,,,,,0,2,,,,
chhattisgarh,raipur,2001,92,104,,10,,58,953,,110,,,,,,4,16,,,,
chhattisgarh,rajnandgaon,2001,36,58,,3,,15,231,,50,,,,,,0,3,,,,
