state_ut,year,cases_pending_investigation_from_previous_year,cases_registered,total_cases_for_investigation,no_of_cases_investigated,cases_pending_departmental_sanction_for_prosecution,cases_pending_investigation_at_the_end_of_the_year,cases_pending_trial_from_the_previous_year,total_cases_for_trial,cases_convicted,total_amount_of_fine_imposed_in_rs,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_under_trial_at_the_beginning_of_the_year,persons_convicted_during_the_year,persons_punished_departmentally_during_the_year,no_of_group_a_officers_out_of_above,no_of_group_b_officers_out_of_above,private_persons_involved_during_the_year
Maharashtra,2001.0,505.0,497.0,1.0,1002.0,199.0,491.0,2321.0,2793.0,97.0,1061500.0,835,712,803,3205,117,68,37,83,78
Rajasthan,2001.0,1128.0,444.0,1572.0,1572.0,232.0,1191.0,650.0,917.0,67.0,567000.0,196,216,118,2109,77,30,0,11,0
Odisha,2001.0,330.0,293.0,623.0,623.0,29.0,317.0,1620.0,1781.0,9.0,2630830.0,78,239,75,1708,10,13,77,71,46
Punjab,2001.0,343.0,243.0,586.0,174.0,100.0,341.0,880.0,1054.0,40.0,127600.0,90,411,219,1439,43,4,4,73,143
Madhya Pradesh,2001.0,401.0,231.0,632.0,632.0,229.0,234.0,582.0,725.0,52.0,5157162.0,411,66,288,942,69,4,28,97,14
Andhra Pradesh,2001.0,285.0,226.0,511.0,209.0,13.0,302.0,526.0,676.0,21.0,121250.0,92,201,54,479,22,13,0,0,5
Gujarat,2001.0,130.0,199.0,329.0,194.0,76.0,91.0,1430.0,1613.0,18.0,121500.0,27,281,44,1903,24,2,35,6,18
Karnataka,2001.0,322.0,195.0,517.0,517.0,142.0,200.0,1127.0,1223.0,15.0,50000.0,473,202,425,1145,15,0,24,32,6
Kerala,2001.0,462.0,129.0,591.0,591.0,115.0,474.0,235.0,297.0,43.0,1722025.0,185,49,0,453,58,0,0,404,476
Uttar Pradesh,2001.0,28.0,122.0,150.0,122.0,65.0,155.0,147.0,198.0,0.0,0.0,53,108,41,163,0,6,3,0,20
Haryana,2001.0,135.0,110.0,245.0,239.0,27.0,102.0,319.0,396.0,4.0,15000.0,1805,198,906,1235,4,0,0,43,79
Delhi,2001.0,111.0,70.0,181.0,181.0,9.0,84.0,311.0,400.0,4.0,2000.0,144,87,103,443,5,0,0,7,11
Jammu & Kashmir,2001.0,308.0,48.0,356.0,125.0,35.0,317.0,391.0,429.0,5.0,67000.0,204,134,259,2108,6,0,0,44,9
Himachal Pradesh,2001.0,151.0,45.0,196.0,196.0,30.0,149.0,74.0,104.0,4.0,6500.0,96,58,105,103,4,0,18,31,13
Tamil Nadu,2001.0,131.0,43.0,174.0,174.0,8.0,130.0,140.0,145.0,0.0,0.0,437,129,448,181,13,18,1,25,3
